"location_id","avg_total_alc_consumption"
6,5.605
7,3.486
10,3.323
11,0.0794
12,6.781
13,0.588
14,1.294
15,1.463
16,4.889
17,2.584
18,6.773
19,0.37
20,2.963
22,2.672
23,0.346
25,1.757
26,1.116
27,1.826
28,0.842
29,0.392
30,1.605
33,4.037
34,0.572
35,7.294
36,3.674
37,5.428
38,8.244
39,0.817
40,2.973
41,2.265
43,4.482
44,4.953
45,10.777
46,10.542
47,12.79
48,11.035
49,3.811
51,10.468
52,9.945
54,10.153
55,10.527
57,11.592
58,15.161
59,11.194
60,13.038
61,6.482
62,8.809
63,7.025
66,0.675
67,6.495
68,8.313
69,1.846
71,9.875
72,9.124
74,10.713
75,11.875
76,9.884
77,8.199
78,9.499
79,8.866
80,11.887
81,11.126
82,7.278
83,7.263
84,11.106
85,2.589
86,7.309
87,11.505
88,8.052
89,8.564
90,6.159
91,10.305
92,9.542
93,7.204
94,9.584
95,9.669
97,7.88
98,7.107
99,5.501
101,8.173
102,8.814
105,9.49
106,9.387
107,9.449
108,6.353
109,4.527
110,6.575
111,5.488
112,8.071
113,5.476
114,2.795
115,3.225
116,9.686
117,7.316
118,5.683
119,5.782
121,3.156
122,3.489
123,5.851
125,4.262
126,3.252
127,2.578
128,1.761
129,2.657
130,4.3
131,3.603
132,6.231
133,5.36
135,6.829
136,5.445
139,0.508
140,1.798
141,0.176
142,0.1437
143,0.162
144,0.355
145,0
146,1.254
147,0.008
148,0.438
150,0.466
151,1.016
152,0
153,0.275
154,1.488
155,1.344
156,1.971
157,0.0281
160,0.0083
161,0.0038
162,0.1607
163,2.944
164,0.717
165,0.0522
168,6.737
169,1.535
170,4.852
171,1.262
172,7.896
173,7.507
175,3.457
176,0.157
177,0.377
178,0.952
179,1.316
180,2.217
181,0.696
182,1.879
183,6.938
184,1.208
185,0.999
186,11.861
187,0
189,5.877
190,7.61
191,3.04
193,6.767
194,2.634
195,4.784
196,7.383
197,6.752
198,2.843
200,5.053
201,6.462
202,5.013
203,5.061
204,0.591
205,1.72
206,1.727
207,2.053
208,0.3
209,3.165
210,2.872
211,3.544
212,0
213,0.113
214,3.056
215,5
216,0.291
217,0.229
218,1.185
320,12.141
369,2.843
374,7.904
393,8.617
416,1.282
522,0.0452
